round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,RECON,10,Time_To_Live,0.046458272522686285
10,client_1,1,RECON,1,IAT,0.6641910428182007
10,client_1,1,RECON,2,Tot sum,0.5237218183799403
10,client_1,1,RECON,3,Variance,0.4906045929782396
10,client_1,1,RECON,4,Std,0.11377049361040605
10,client_1,1,RECON,5,AVG,0.10920580051380775
10,client_1,1,RECON,6,Tot size,0.09870413161387849
10,client_1,1,RECON,7,syn_flag_number,0.06275090788802637
10,client_1,1,RECON,8,Number,0.054336770668416384
10,client_1,1,RECON,9,Time_To_Live,0.02575472143506107
10,client_1,1,RECON,10,Max,0.025744247371267546
10,client_4,4,RECON,1,Tot sum,0.7160871437957346
10,client_4,4,RECON,2,Variance,0.5551364949102893
10,client_4,4,RECON,3,AVG,0.26439511539862326
10,client_4,4,RECON,4,Std,0.2179132034494974
10,client_4,4,RECON,5,Tot size,0.20606877302799204
10,client_4,4,RECON,6,IAT,0.08970789640141885
10,client_4,4,RECON,7,Number,0.06885670217258198
10,client_4,4,RECON,8,Max,0.05300183419273295
10,client_4,4,RECON,9,ack_flag_number,0.04231777148168656
10,client_4,4,RECON,10,Time_To_Live,0.030380784799340463
10,client_5,5,RECON,1,Tot sum,0.7872718254271115
10,client_5,5,RECON,2,Variance,0.4919330907250856
10,client_5,5,RECON,3,IAT,0.19510733722257634
10,client_5,5,RECON,4,Std,0.18022617948493488
10,client_5,5,RECON,5,AVG,0.17342109532410202
10,client_5,5,RECON,6,Tot size,0.1571404173337781
10,client_5,5,RECON,7,Number,0.0663748697936664
10,client_5,5,RECON,8,ack_flag_number,0.04808512227053578
10,client_5,5,RECON,9,Max,0.04346621796442835
10,client_5,5,RECON,10,syn_flag_number,0.03350990849563172
10,server,,SPOOFING,1,Variance,0.5574772298562922
10,server,,SPOOFING,2,Tot size,0.5134102462258597
10,server,,SPOOFING,3,AVG,0.45258389639709534
10,server,,SPOOFING,4,Tot sum,0.4033707704032471
10,server,,SPOOFING,5,Std,0.21312374253517777
10,server,,SPOOFING,6,Max,0.05840319546902549
10,server,,SPOOFING,7,IAT,0.057535395696155116
10,server,,SPOOFING,8,Min,0.051467805062742435
10,server,,SPOOFING,9,Number,0.0368114364273278
10,server,,SPOOFING,10,Time_To_Live,0.036089987829043456
10,client_1,1,SPOOFING,1,Tot size,0.6065818000680786
10,client_1,1,SPOOFING,2,Variance,0.5125171000697013
10,client_1,1,SPOOFING,3,AVG,0.4332546114670384
10,client_1,1,SPOOFING,4,Tot sum,0.38655231628094583
10,client_1,1,SPOOFING,5,Std,0.14529681288512664
10,client_1,1,SPOOFING,6,Time_To_Live,0.06834835048697427
10,client_1,1,SPOOFING,7,ack_flag_number,0.03960684504894021
10,client_1,1,SPOOFING,8,IAT,0.03634981266533406
10,client_1,1,SPOOFING,9,Number,0.036270808734315964
10,client_1,1,SPOOFING,10,Max,0.03583227294004991
10,client_3,3,SPOOFING,1,Tot sum,0.7678334739233954
10,client_3,3,SPOOFING,2,Variance,0.43264847460597494
10,client_3,3,SPOOFING,3,AVG,0.3336071978500196
10,client_3,3,SPOOFING,4,Tot size,0.2792172723552591
10,client_3,3,SPOOFING,5,Std,0.13437375043042094
10,client_3,3,SPOOFING,6,IAT,0.1081416249191236
10,client_3,3,SPOOFING,7,Time_To_Live,0.04199036269284144
10,client_3,3,SPOOFING,8,Max,0.03449078915060882
10,client_3,3,SPOOFING,9,Number,0.020839925757134545
10,client_3,3,SPOOFING,10,ack_flag_number,0.0181274023849232
10,client_5,5,SPOOFING,1,Variance,0.8760803292488273
10,client_5,5,SPOOFING,2,Tot size,0.39729539994968566
10,client_5,5,SPOOFING,3,Std,0.23305773212557745
10,client_5,5,SPOOFING,4,AVG,0.12357831880082762
10,client_5,5,SPOOFING,5,Time_To_Live,0.04902589293058403
10,client_5,5,SPOOFING,6,Tot sum,0.04449606322931086
10,client_5,5,SPOOFING,7,ack_flag_number,0.018473343193103394
10,client_5,5,SPOOFING,8,Max,0.014029482391676326
10,client_5,5,SPOOFING,9,Number,0.0077077224361363295
10,client_5,5,SPOOFING,10,UDP,0.004592012977128893
10,server,,WEB,1,Tot sum,0.6292127754533133
10,server,,WEB,2,Variance,0.4836732659951625
10,server,,WEB,3,Tot size,0.4145101781183934
10,server,,WEB,4,IAT,0.36515079410426843
10,server,,WEB,5,AVG,0.20672725687909344
10,server,,WEB,6,Time_To_Live,0.0968531598435512
10,server,,WEB,7,Std,0.08487334231655755
10,server,,WEB,8,Min,0.05140346814300326
10,server,,WEB,9,Number,0.04597690217346337
10,server,,WEB,10,Max,0.02596705174753262
10,client_3,3,WEB,1,IAT,0.6360290553926865
10,client_3,3,WEB,2,Tot sum,0.633207752338992
10,client_3,3,WEB,3,Variance,0.3476656894093574
10,client_3,3,WEB,4,AVG,0.1658875542090686
10,client_3,3,WEB,5,Tot size,0.15212379667431683
10,client_3,3,WEB,6,Std,0.12522677748519334
10,client_3,3,WEB,7,Time_To_Live,0.07064894421938346
10,client_3,3,WEB,8,Number,0.0322117274806589
10,client_3,3,WEB,9,Max,0.02967986488412567
10,client_3,3,WEB,10,ack_flag_number,0.015619041461183225
