round,client_id,class,feature,class_shap_value
1,5,DDOS,DNS,1.0593650301093938e-06
1,5,DDOS,Telnet,0.0
1,5,DDOS,SMTP,0.0
1,5,DDOS,SSH,0.0
1,5,DDOS,IRC,0.0
1,5,DDOS,TCP,0.006814460350881291
1,5,DDOS,UDP,0.0377009946241742
1,5,DDOS,DHCP,0.0
1,5,DDOS,ARP,1.2349448992532431e-06
1,5,DDOS,ICMP,0.0021570611180777633
1,5,DDOS,IGMP,0.0
1,5,DDOS,IPv,1.9623798074741574e-06
1,5,DDOS,LLC,3.951933380930487e-06
1,5,DDOS,Tot sum,0.08042247800622135
1,5,DDOS,Min,0.0
1,5,DDOS,Max,0.00895569782878738
1,5,DDOS,AVG,0.005448131452430971
1,5,DDOS,Std,0.025771182344760744
1,5,DDOS,Tot size,0.008270777098368853
1,5,DDOS,IAT,0.0024448685239121916
1,5,DDOS,Number,0.0
1,5,DDOS,Variance,0.17103838748298586
1,1,DOS,Header_Length,0.002668430544002831
1,1,DOS,Protocol Type,0.0007725075224470857
1,1,DOS,Time_To_Live,0.0028359202277727035
1,1,DOS,Rate,0.0017276671189847548
1,1,DOS,fin_flag_number,0.00014857669419257035
1,1,DOS,syn_flag_number,0.014574575318511052
1,1,DOS,rst_flag_number,3.06131861123049e-05
1,1,DOS,psh_flag_number,8.810723306851287e-05
1,1,DOS,ack_flag_number,0.014308937946407242
1,1,DOS,ece_flag_number,0.0
1,1,DOS,cwr_flag_number,0.0
1,1,DOS,ack_count,0.009261102932214271
1,1,DOS,syn_count,0.0047306682310590984
1,1,DOS,fin_count,0.017473889137181686
1,1,DOS,rst_count,0.003590822120895609
1,1,DOS,HTTP,0.00031902101429608364
1,1,DOS,HTTPS,2.3746908089883335e-05
1,1,DOS,DNS,0.0
1,1,DOS,Telnet,0.0
1,1,DOS,SMTP,0.0
1,1,DOS,SSH,0.0
1,1,DOS,IRC,0.0
1,1,DOS,TCP,0.003442551595480836
1,1,DOS,UDP,0.028725092628155834
1,1,DOS,DHCP,0.0
1,1,DOS,ARP,1.258969255379938e-06
1,1,DOS,ICMP,0.00167694314877167
1,1,DOS,IGMP,0.0
1,1,DOS,IPv,4.16002475738253e-06
1,1,DOS,LLC,6.8138362057657e-06
1,1,DOS,Tot sum,0.13862906508147715
1,1,DOS,Min,0.025000900973100215
1,1,DOS,Max,0.004874666966497898
