round,source,client_id,class_name,rank,feature_name,normalized_mean_abs_shap
10,server,,RECON,10,Max,0.04329704921914005
10,client_1,1,RECON,1,Tot sum,0.7407287987993241
10,client_1,1,RECON,2,syn_flag_number,0.49379586680101584
10,client_1,1,RECON,3,Variance,0.3416428038365507
10,client_1,1,RECON,4,Tot size,0.17426726857369862
10,client_1,1,RECON,5,Number,0.1321406415891963
10,client_1,1,RECON,6,Std,0.12186835476841276
10,client_1,1,RECON,7,syn_count,0.10269675182808877
10,client_1,1,RECON,8,AVG,0.08854724735972232
10,client_1,1,RECON,9,ack_flag_number,0.06316977752950603
10,client_1,1,RECON,10,IAT,0.05347146069958476
10,client_2,2,RECON,1,Tot sum,0.7347297585342948
10,client_2,2,RECON,2,Variance,0.4734842237582348
10,client_2,2,RECON,3,Tot size,0.2513035790933507
10,client_2,2,RECON,4,AVG,0.2283190190411555
10,client_2,2,RECON,5,IAT,0.2055904267463697
10,client_2,2,RECON,6,syn_flag_number,0.19399450329827622
10,client_2,2,RECON,7,Std,0.171860242610513
10,client_2,2,RECON,8,Number,0.05780403902372087
10,client_2,2,RECON,9,syn_count,0.051783247648722025
10,client_2,2,RECON,10,Time_To_Live,0.046867089353379056
10,client_3,3,RECON,1,Tot sum,0.7981545209946975
10,client_3,3,RECON,2,Variance,0.42285795740814786
10,client_3,3,RECON,3,IAT,0.2576626518746591
10,client_3,3,RECON,4,AVG,0.1802754269466766
10,client_3,3,RECON,5,Tot size,0.17758089749817785
10,client_3,3,RECON,6,Std,0.16917073235976873
10,client_3,3,RECON,7,syn_flag_number,0.08476859435147803
10,client_3,3,RECON,8,Number,0.08405698081572391
10,client_3,3,RECON,9,Time_To_Live,0.0561377863106244
10,client_3,3,RECON,10,syn_count,0.04841677362564508
10,client_4,4,RECON,1,Variance,0.8279193693820434
10,client_4,4,RECON,2,AVG,0.3677742487386359
10,client_4,4,RECON,3,Tot sum,0.277820505914098
10,client_4,4,RECON,4,Tot size,0.276728201780482
10,client_4,4,RECON,5,Std,0.1453663616388269
10,client_4,4,RECON,6,IAT,0.050212988568586636
10,client_4,4,RECON,7,Max,0.03672329829466114
10,client_4,4,RECON,8,syn_flag_number,0.012368050865004619
10,client_4,4,RECON,9,Number,0.0117414277751804
10,client_4,4,RECON,10,syn_count,0.008717034350006272
10,client_5,5,RECON,1,Tot sum,0.7909053119595745
10,client_5,5,RECON,2,Variance,0.4512858869210068
10,client_5,5,RECON,3,Tot size,0.22293774733722763
10,client_5,5,RECON,4,AVG,0.20830397900368405
10,client_5,5,RECON,5,Std,0.19094610538476942
10,client_5,5,RECON,6,IAT,0.1182715246910266
10,client_5,5,RECON,7,Number,0.10645660708307647
10,client_5,5,RECON,8,Time_To_Live,0.07369418555035831
10,client_5,5,RECON,9,syn_flag_number,0.06373447966620235
10,client_5,5,RECON,10,Max,0.04925947751709993
10,server,,SPOOFING,1,Variance,0.5815005116587723
10,server,,SPOOFING,2,Tot size,0.5782016204164961
10,server,,SPOOFING,3,AVG,0.401867950561674
10,server,,SPOOFING,4,Tot sum,0.32855651609963843
10,server,,SPOOFING,5,Std,0.20102680605201922
10,server,,SPOOFING,6,IAT,0.07945118902283536
10,server,,SPOOFING,7,Min,0.06694963002583655
10,server,,SPOOFING,8,syn_flag_number,0.04112914788266773
10,server,,SPOOFING,9,Max,0.036896800482012264
10,server,,SPOOFING,10,UDP,0.033318924430641515
10,client_1,1,SPOOFING,1,Tot size,0.5302614711128758
10,client_1,1,SPOOFING,2,Tot sum,0.5240518551566313
