round,source,client_id,class_id,class_name,available,feature_id,feature_name,normalized_mean_abs_shap,feature_rank_within_class
10,client_4,4,3,MIRAI,1,1,Protocol Type,0.0013500995845279298,13
10,client_4,4,3,MIRAI,1,2,Time_To_Live,2.912816970182543e-05,23
10,client_4,4,3,MIRAI,1,3,Rate,7.021278635834209e-05,20
10,client_4,4,3,MIRAI,1,4,fin_flag_number,1.7983899280390206e-05,24
10,client_4,4,3,MIRAI,1,5,syn_flag_number,0.011974290420461857,9
10,client_4,4,3,MIRAI,1,6,rst_flag_number,4.123849517665432e-05,21
10,client_4,4,3,MIRAI,1,7,psh_flag_number,7.896989482328513e-05,19
10,client_4,4,3,MIRAI,1,8,ack_flag_number,0.0006614164909109758,15
10,client_4,4,3,MIRAI,1,9,ece_flag_number,0.0,31
10,client_4,4,3,MIRAI,1,10,cwr_flag_number,0.0,32
10,client_4,4,3,MIRAI,1,11,ack_count,0.001727582462541777,12
10,client_4,4,3,MIRAI,1,12,syn_count,0.010041758587653493,10
10,client_4,4,3,MIRAI,1,13,fin_count,0.0009507737555854839,14
10,client_4,4,3,MIRAI,1,14,rst_count,0.001769655754759175,11
10,client_4,4,3,MIRAI,1,15,HTTP,3.4001340935729803e-06,25
10,client_4,4,3,MIRAI,1,16,HTTPS,1.6508173158190385e-07,29
10,client_4,4,3,MIRAI,1,17,DNS,3.8624316261013187e-08,30
10,client_4,4,3,MIRAI,1,18,Telnet,0.0,33
10,client_4,4,3,MIRAI,1,19,SMTP,0.0,34
10,client_4,4,3,MIRAI,1,20,SSH,0.0,35
10,client_4,4,3,MIRAI,1,21,IRC,0.0,36
10,client_4,4,3,MIRAI,1,22,TCP,0.00019425747285254987,18
10,client_4,4,3,MIRAI,1,23,UDP,0.030812581926468602,8
10,client_4,4,3,MIRAI,1,24,DHCP,0.0,37
10,client_4,4,3,MIRAI,1,25,ARP,1.6543369903313184e-07,28
10,client_4,4,3,MIRAI,1,26,ICMP,3.7446520055841795e-05,22
10,client_4,4,3,MIRAI,1,27,IGMP,0.0,38
10,client_4,4,3,MIRAI,1,28,IPv,2.204549534532563e-07,27
10,client_4,4,3,MIRAI,1,29,LLC,3.568578732218036e-07,26
10,client_4,4,3,MIRAI,1,30,Tot sum,0.7607310613977719,1
10,client_4,4,3,MIRAI,1,31,Min,0.05178017907755376,5
10,client_4,4,3,MIRAI,1,32,Max,0.041099508700092074,6
10,client_4,4,3,MIRAI,1,33,AVG,0.5276284474173287,2
10,client_4,4,3,MIRAI,1,34,Std,0.03196678742307959,7
10,client_4,4,3,MIRAI,1,35,Tot size,0.3649816573534282,3
10,client_4,4,3,MIRAI,1,36,IAT,0.00034638573516743886,16
10,client_4,4,3,MIRAI,1,37,Number,0.0,39
10,client_4,4,3,MIRAI,1,38,Variance,0.05558301776697487,4
10,client_5,5,3,MIRAI,1,0,Header_Length,0.0002458399799977481,17
10,client_5,5,3,MIRAI,1,1,Protocol Type,0.001145720479717746,14
10,client_5,5,3,MIRAI,1,2,Time_To_Live,3.773105447253657e-05,22
10,client_5,5,3,MIRAI,1,3,Rate,4.5246186540749725e-05,21
10,client_5,5,3,MIRAI,1,4,fin_flag_number,3.450528946405512e-05,23
10,client_5,5,3,MIRAI,1,5,syn_flag_number,0.0034668426163664934,9
10,client_5,5,3,MIRAI,1,6,rst_flag_number,7.775660395056455e-05,20
10,client_5,5,3,MIRAI,1,7,psh_flag_number,8.535928148340419e-05,19
10,client_5,5,3,MIRAI,1,8,ack_flag_number,0.0007849593270629264,15
10,client_5,5,3,MIRAI,1,9,ece_flag_number,0.0,32
10,client_5,5,3,MIRAI,1,10,cwr_flag_number,0.0,33
10,client_5,5,3,MIRAI,1,11,ack_count,0.0018857502483711408,12
10,client_5,5,3,MIRAI,1,12,syn_count,0.002962877284336284,11
10,client_5,5,3,MIRAI,1,13,fin_count,0.0017714532720374526,13
10,client_5,5,3,MIRAI,1,14,rst_count,0.0030514158714795517,10
