round,client_id,class_name,available,cosine_similarity,pearson_correlation,spearman_rank_correlation,mean_absolute_difference,top_server_feature,top_client_feature,top1_match,top5_overlap_count,top5_jaccard,top10_overlap_count,top10_jaccard
10,4,DOS,1,0.8024105170413881,0.7555276452989943,0.951012145748988,0.03703146479619498,Tot sum,Variance,0,4,0.6666666666666666,8,0.6666666666666666
10,5,DOS,1,0.9828000245507966,0.9796899736864294,0.9639676113360324,0.015125940499272291,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,1,MIRAI,1,0.9992320508784629,0.999161179499485,0.9977732793522268,0.0024869237040242055,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,2,MIRAI,1,0.9996895641283999,0.9996588881460727,0.9649797570850203,0.0017141410012552504,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,3,MIRAI,1,0.9990717468224067,0.999020091367791,0.9870445344129555,0.002942354907009085,Tot sum,Tot sum,1,4,0.6666666666666666,10,1.0
10,4,MIRAI,1,0.999553566622546,0.999509598629977,0.9734817813765182,0.0018919190975023915,Tot sum,Tot sum,1,5,1.0,10,1.0
10,5,MIRAI,1,0.9995573517188173,0.9995212791903523,0.9763157894736842,0.0017541916828397509,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,1,RECON,1,0.8875846974872308,0.8659047838080391,0.9732793522267207,0.0313799425670087,Tot sum,Tot sum,1,3,0.42857142857142855,8,0.6666666666666666
10,2,RECON,1,0.9941594227235038,0.9930134194414331,0.9789473684210527,0.0075831881647103324,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,3,RECON,1,0.9890866093218704,0.9872278065693899,0.9884615384615386,0.011935822576061449,Tot sum,Tot sum,1,4,0.6666666666666666,9,0.8181818181818182
10,4,RECON,1,0.7830501910040174,0.7534155727616467,0.982591093117409,0.04279403241694605,Tot sum,Variance,0,5,1.0,9,0.8181818181818182
10,5,RECON,1,0.9893119644758301,0.9875845640772322,0.9846153846153848,0.011423283940899186,Tot sum,Tot sum,1,5,1.0,10,1.0
10,1,SPOOFING,1,0.9727136300695867,0.9675619069605916,0.9811740890688259,0.014432242193346422,Variance,Tot size,0,5,1.0,7,0.5384615384615384
10,2,SPOOFING,1,0.9588496533317485,0.9511755228179866,0.9649797570850203,0.017068276843877277,Variance,Tot size,0,5,1.0,9,0.8181818181818182
10,3,SPOOFING,1,0.989100597491773,0.9875007861308154,0.9862348178137653,0.010516397519899473,Variance,Tot size,0,5,1.0,9,0.8181818181818182
10,4,SPOOFING,1,0.944010805516031,0.9333245092337868,0.9777327935222673,0.024008567414360242,Variance,AVG,0,4,0.6666666666666666,7,0.5384615384615384
10,5,SPOOFING,1,0.962828789960168,0.9600727903048266,0.9850202429149799,0.019018033184731383,Variance,Variance,1,5,1.0,9,0.8181818181818182
10,1,WEB,1,0.9679703369385272,0.9632658025850798,0.9852226720647774,0.016120930660566073,IAT,IAT,1,5,1.0,9,0.8181818181818182
10,2,WEB,1,0.9967462047700248,0.9962750192751889,0.9811740890688259,0.005386680842248542,IAT,IAT,1,5,1.0,9,0.8181818181818182
10,3,WEB,1,0.9201601763577998,0.9086034728522456,0.9787449392712552,0.025576482462003187,IAT,IAT,1,4,0.6666666666666666,9,0.8181818181818182
10,4,WEB,1,0.8730344472045509,0.853411327727476,0.9775303643724695,0.02909522976296584,IAT,Variance,0,4,0.6666666666666666,8,0.6666666666666666
10,5,WEB,1,0.7688502518537711,0.7343734077482594,0.9838056680161944,0.04251869317433387,IAT,Variance,0,4,0.6666666666666666,9,0.8181818181818182
