round,client_id,num_examples,size_weight,shap_weight,performance_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
5,2,477793,0.185388185966708,0.20022016204570325,0.2,0.18761298237855728,0.7981879115104675,0.6450535374929887,0.3309634241281014,0.285419976782922,0.3309634241281014,0.2723777399867018,5,1
5,3,597080,0.23167266593901967,0.1996592557949162,0.2,0.22687065441740414,0.5886803865432739,0.7471578538363112,0.31278798693352344,0.2778010566550987,0.31278798693352344,0.27967042167273387,5,1
5,4,655763,0.2544422228749403,0.2001323201092659,0.2,0.24629573746008912,0.6192463636398315,0.7055343080742462,0.31100695698466596,0.2903216179725207,0.31100695698466596,0.25320464330411435,5,1
5,5,367784,0.1427036574156167,0.20070450720909802,0.2,0.15140378488463888,0.9611313939094543,0.5557223182920595,0.3045289113767474,0.2744898155403172,0.3045289113767474,0.2585906999320445,5,1
6,1,478837,0.18579326780371536,0.19928375484101668,0.2,0.18781684085931055,0.48501384258270264,0.8140172082532787,0.2946933768036533,0.2740577423229875,0.2946933768036533,0.25253096217606985,5,0
6,2,477793,0.185388185966708,0.20022016204570325,0.2,0.18761298237855728,0.7724679708480835,0.6543127192358245,0.33735164993998334,0.28554877857226507,0.33735164993998334,0.27911605699169983,5,0
6,3,597080,0.23167266593901967,0.1996592557949162,0.2,0.22687065441740414,0.5828238725662231,0.7611793315513395,0.31488626657013286,0.2884884020010718,0.31488626657013286,0.2841303040777636,5,0
6,4,655763,0.2544422228749403,0.2001323201092659,0.2,0.24629573746008912,0.5969474911689758,0.7082425994717612,0.3150650112837284,0.28588285714064887,0.3150650112837284,0.26054395381236645,5,0
6,5,367784,0.1427036574156167,0.20070450720909802,0.2,0.15140378488463888,0.9333744049072266,0.5594853556940411,0.309522260839476,0.27858593638299994,0.309522260839476,0.26536549606518944,5,0
7,1,478837,0.18579326780371536,0.19928375484101668,0.2,0.18781684085931055,0.4663067162036896,0.8178598279174673,0.301923906546325,0.2807321145787106,0.301923906546325,0.2564438086549528,5,0
7,2,477793,0.185388185966708,0.20022016204570325,0.2,0.18761298237855728,0.7616283893585205,0.6372175572838618,0.3396110782757255,0.27820339262183513,0.3396110782757255,0.26341901281479524,5,0
7,3,597080,0.23167266593901967,0.1996592557949162,0.2,0.22687065441740414,0.5718227028846741,0.7651251750172505,0.3229461001231292,0.30609519131992563,0.3229461001231292,0.29813141621494205,5,0
7,4,655763,0.2544422228749403,0.2001323201092659,0.2,0.24629573746008912,0.586606502532959,0.8203439042094413,0.31762754476832533,0.2777468962721851,0.31762754476832533,0.27913507488378997,5,0
7,5,367784,0.1427036574156167,0.20070450720909802,0.2,0.15140378488463888,0.9026951193809509,0.5678379936267632,0.31923564431405604,0.29570129434794545,0.31923564431405604,0.26988213532926864,5,0
8,1,478837,0.18579326780371536,0.19928375484101668,0.2,0.18781684085931055,0.46659260988235474,0.8165483251190376,0.3085132284901608,0.27185032091783523,0.3085132284901608,0.25997961333494435,5,0
8,2,477793,0.185388185966708,0.20022016204570325,0.2,0.18761298237855728,0.7447485327720642,0.654354578104463,0.3430514125134773,0.2942730841321931,0.3430514125134773,0.28620317022417247,5,0
8,3,597080,0.23167266593901967,0.1996592557949162,0.2,0.22687065441740414,0.5772073864936829,0.693986105807558,0.32024926260261577,0.28553887039522047,0.32024926260261577,0.2900765870703054,5,0
8,4,655763,0.2544422228749403,0.2001323201092659,0.2,0.24629573746008912,0.5769323706626892,0.7078278161045742,0.3239682414380074,0.2910977866904208,0.3239682414380074,0.2685372062386404,5,0
8,5,367784,0.1427036574156167,0.20070450720909802,0.2,0.15140378488463888,0.8883987665176392,0.5640640803941401,0.3356798656519508,0.2940788870972849,0.3356798656519508,0.2808361094801263,5,0
9,1,478837,0.18579326780371536,0.19928375484101668,0.2,0.18781684085931055,0.4562893807888031,0.8215186701194553,0.3144527032246626,0.27439161915724725,0.3144527032246626,0.2648611971548577,5,0
9,2,477793,0.185388185966708,0.20022016204570325,0.2,0.18761298237855728,0.7285135388374329,0.6508468049125569,0.34845798861406496,0.3023435694159414,0.34845798861406496,0.2883615313701128,5,0
9,3,597080,0.23167266593901967,0.1996592557949162,0.2,0.22687065441740414,0.5659741163253784,0.6957881973055717,0.3180206343434879,0.29136402350299667,0.3180206343434879,0.2867532353874997,5,0
9,4,655763,0.2544422228749403,0.2001323201092659,0.2,0.24629573746008912,0.564294695854187,0.7129638101512129,0.33793403429000013,0.30378241517555654,0.33793403429000013,0.27761454727386603,5,0
9,5,367784,0.1427036574156167,0.20070450720909802,0.2,0.15140378488463888,0.8415316939353943,0.5810303761949819,0.34255545325323433,0.3131144231329167,0.34255545325323433,0.2930598251858382,5,0
10,1,478837,0.18579326780371536,0.20344282029346336,0.2,0.18844070067717755,0.45070862770080566,0.8208002673126723,0.33435202870345976,0.3143959293301796,0.33435202870345976,0.28013347529373056,10,1
10,2,477793,0.185388185966708,0.20393578360757075,0.2,0.18817032561283742,0.7029297947883606,0.6792606049443696,0.37564142092205166,0.324818277404489,0.37564142092205166,0.3225757782013209,10,1
10,3,597080,0.23167266593901967,0.20225749935244697,0.2,0.22726039095103376,0.554162323474884,0.7624320866075796,0.31650343694210253,0.29417999618201607,0.31650343694210253,0.2903518720417931,10,1
10,4,655763,0.2544422228749403,0.1902128582693326,0.2,0.24480781818409914,0.5518750548362732,0.7176240232766666,0.34901964737009394,0.3060868218885666,0.34901964737009394,0.28539818411668005,10,1
10,5,367784,0.1427036574156167,0.20015103847718624,0.2,0.1513207645748521,0.7846799492835999,0.6397054825062264,0.35345182487125154,0.3076163378517774,0.35345182487125154,0.3072801427056107,10,1
