round,class,client_id,class_examples,class_weight,class_shap_weight
8,BENIGN,3,10438,0.21846526999425075,0.21482484632210655
8,BENIGN,4,1789,0.1388087087694097,0.18566646853889066
8,BENIGN,5,26561,0.26840584754871405,0.1825099785313634
8,DDOS,1,341991,0.21040804826614393,0.20834888153915576
8,DDOS,2,57981,0.14691515266819144,0.20634654596530452
8,DDOS,3,187864,0.17582383871979262,0.1941745802771267
8,DDOS,4,215204,0.19244163047826351,0.21634063491322325
8,DDOS,5,1059867,0.2744113298676085,0.17478935730518974
8,DOS,1,3279,0.12142497970720173,0.190904741490631
8,DOS,2,27657,0.17868615849794056,0.2065111721635243
8,DOS,3,2609,0.12492406371844988,0.20351283548377047
8,DOS,4,53332,0.2084304240622023,0.2073681937724867
8,DOS,5,356149,0.36653437401420547,0.19170305708958743
8,MIRAI,1,55138,0.25208233165910293,0.19996347379155796
8,MIRAI,2,3315,0.1373085370777911,0.20002766451823903
8,MIRAI,3,7168,0.15502464451327191,0.20036753128850124
8,MIRAI,4,45697,0.23849722390057265,0.200058554171564
8,MIRAI,5,32791,0.21708726284926147,0.1995827762301378
8,RECON,1,12816,0.23875627574657557,0.1991016291753418
8,RECON,2,1487,0.15056982659453716,0.20630533985896
8,RECON,3,11433,0.23456381054120085,0.20616736051125423
8,RECON,4,2528,0.16279873317111382,0.2019462039724121
8,RECON,5,9535,0.2133113539465725,0.1864794664820317
8,SPOOFING,1,6746,0.22222481062728053,0.19429311033161134
8,SPOOFING,2,6043,0.22082227329243165,0.20488094396570408
8,SPOOFING,3,73,0.10749328264903464,0.18896400206263164
8,SPOOFING,4,3052,0.18772273392391245,0.20718545910854297
8,SPOOFING,5,10956,0.2617368995073408,0.20467648453151005
8,WEB,1,347,0.2021373071259061,0.20537154240579714
8,WEB,2,11,0.11553113976543053,0.19564843343426644
8,WEB,3,398,0.20857110979768034,0.20412324537632986
8,WEB,4,613,0.22993170178095967,0.1954965572614241
8,WEB,5,729,0.2438287415300233,0.1993602215221824
9,BENIGN,1,21631,0.26421964394927,0.20870490263920177
9,BENIGN,2,30,0.09991094372929184,0.18791463195031016
9,BENIGN,3,10438,0.21268687607003056,0.20326805847366622
9,BENIGN,4,1789,0.1443518984953423,0.19675284799075587
9,BENIGN,5,26561,0.27883063775606537,0.203359558946066
9,DDOS,1,341991,0.2099706756583447,0.20747413632355735
9,DDOS,2,57981,0.14722610304331088,0.2069684467155434
9,DDOS,3,187864,0.19224172996977523,0.22701036277709188
9,DDOS,4,215204,0.1551926615164567,0.1418426969896096
9,DDOS,5,1059867,0.29536882981211254,0.21670435719419778
9,DOS,1,3279,0.1329550435404435,0.2139648691571145
9,DOS,2,27657,0.1815034890892151,0.21214583334607334
9,DOS,3,2609,0.1230869610486509,0.1998386301441725
9,DOS,4,53332,0.20913962716856144,0.20878659998520493
9,DOS,5,356149,0.3533148791531291,0.16526406736743476
9,MIRAI,1,55138,0.2522263294240194,0.20025146932139107
9,MIRAI,2,3315,0.13736622793298145,0.20014304622861978
9,MIRAI,3,7168,0.15506429119158777,0.200446824645133
9,MIRAI,4,45697,0.23826215690309288,0.19958842017660453
9,MIRAI,5,32791,0.21708099454831842,0.1995702396282518
9,RECON,1,12816,0.2424066898707046,0.20640245742359997
9,RECON,2,1487,0.1471973420700183,0.19956037080992228
9,RECON,3,11433,0.22712650516903024,0.19129274976691313
9,RECON,4,2528,0.1652799260334445,0.2069085896970735
9,RECON,5,9535,0.21798953685680222,0.19583583230249124
9,SPOOFING,1,6746,0.2230513721675979,0.1959462334122461
9,SPOOFING,2,6043,0.22015543156847633,0.20354726051779348
9,SPOOFING,3,73,0.11245729530306062,0.1988920273706836
9,SPOOFING,4,3052,0.1858968139915304,0.2035336192437789
9,SPOOFING,5,10956,0.25843908696933476,0.19808085945549794
9,WEB,1,347,0.19825312730867808,0.19760318277134106
9,WEB,2,11,0.11622952795256254,0.19704520980853046
9,WEB,3,398,0.20430670383237948,0.1955944334457281
9,WEB,4,613,0.23448750033261198,0.20460815436472868
9,WEB,5,729,0.24672314057376793,0.20514901960967166
10,BENIGN,1,21631,0.2667184200261948,0.21370245479305136
10,BENIGN,2,30,0.10017548457106847,0.18844371363386342
10,BENIGN,3,10438,0.2064894345444339,0.19087317542247284
10,BENIGN,4,1789,0.14970328491857415,0.20745562083721955
10,BENIGN,5,26561,0.27691337593972876,0.19952503531339277
10,DDOS,1,341991,0.18034124603172416,0.14821527707031623
10,DDOS,2,57981,0.16161143869929914,0.23573911802751993
10,DDOS,3,187864,0.1988123290615353,0.240151560960612
10,DDOS,4,215204,0.15582931128345723,0.1431159965236107
10,DDOS,5,1059867,0.30340567492398424,0.23277804741794123
10,DOS,1,3279,0.14421013954843362,0.23647506117309475
10,DOS,2,27657,0.18976607885503954,0.2286710128777222
10,DOS,3,2609,0.08776680772358772,0.12919832349404614
10,DOS,4,53332,0.21753823455718863,0.22558381476245934
10,DOS,5,356149,0.36071873931575055,0.1800717876926776
10,MIRAI,1,55138,0.25198329138199993,0.19976539323735204
10,MIRAI,2,3315,0.13698551889778315,0.19938162815822313
10,MIRAI,3,7168,0.15520470848877227,0.20072765923950192
10,MIRAI,4,45697,0.23833378393184254,0.19973167423410376
10,MIRAI,5,32791,0.21749269729960213,0.2003936451308191
10,RECON,1,12816,0.24094609282411283,0.20348126333041636
10,RECON,2,1487,0.14180944315087457,0.18878457297163478
10,RECON,3,11433,0.23512182150303151,0.20728338243491556
10,RECON,4,2528,0.16582773569053624,0.20800420901125696
10,RECON,5,9535,0.21629490683144484,0.1924465722517764
10,SPOOFING,1,6746,0.22150366935440263,0.19285082778585558
10,SPOOFING,2,6043,0.22123691096731213,0.20571021931546507
10,SPOOFING,3,73,0.10909936441455582,0.192176165593674
10,SPOOFING,4,3052,0.1857275859656409,0.20319516319199987
10,SPOOFING,5,10956,0.26243246929808856,0.2060676241130055
10,WEB,1,347,0.2014918777225859,0.20408068359915668
10,WEB,2,11,0.11902778532479363,0.20264172455299265
10,WEB,3,398,0.20412614012362276,0.1952333060282147
10,WEB,4,613,0.2290171405608116,0.19366743482112792
10,WEB,5,729,0.24633705626818614,0.20437685099850808
