round,class,client_id,class_examples,class_weight
8,MIRAI,2,30104,0.22171345302345435
8,MIRAI,3,93569,0.3155676055499332
8,MIRAI,4,2545,0.1365200512036855
8,MIRAI,5,8040,0.16467072288955542
8,RECON,1,33060,0.3928795340520429
8,RECON,2,589,0.14111335800402647
8,RECON,3,516,0.14030852712761327
8,RECON,4,243,0.12718088026068694
8,RECON,5,3392,0.19851770055563037
8,SPOOFING,1,29,0.10117361257404249
8,SPOOFING,2,5190,0.21730155969346485
8,SPOOFING,3,6742,0.2353147198541446
8,SPOOFING,4,13850,0.2913869043449958
8,SPOOFING,5,1059,0.15482320353335227
8,WEB,1,49,0.14049307999981048
8,WEB,2,286,0.21701046344660593
8,WEB,3,21,0.13421030289473163
8,WEB,4,343,0.2284539311951716
8,WEB,5,670,0.2798322224636804
9,BENIGN,1,21631,0.23847741350390164
9,BENIGN,2,30,0.11206049570258873
9,BENIGN,3,10438,0.2177096952372305
9,BENIGN,4,1789,0.1500212874669355
9,BENIGN,5,26562,0.28173110808934376
9,BRUTEFORCE,1,0,0.0
9,BRUTEFORCE,2,30,0.1816996387497005
9,BRUTEFORCE,3,442,0.34073074077074794
9,BRUTEFORCE,4,123,0.23643892762017327
9,BRUTEFORCE,5,132,0.24113069285937833
9,DDOS,1,1160039,0.2992539369152042
9,DDOS,2,24016,0.13785396722220958
9,DDOS,3,575798,0.2621067010446826
9,DDOS,4,37815,0.14388299082621545
9,DDOS,5,65238,0.15690240399168828
9,DOS,1,457,0.08841248720247229
9,DOS,2,58958,0.21743186234058282
9,DOS,3,19342,0.1704210446555537
9,DOS,4,356064,0.3776266510227394
9,DOS,5,8205,0.14610795477865182
9,MIRAI,1,9852,0.14765818637006212
9,MIRAI,2,30104,0.22680324224739057
9,MIRAI,3,93569,0.3194460006420809
9,MIRAI,4,2545,0.1391395539723099
9,MIRAI,5,8040,0.1669530167681566
9,RECON,1,33060,0.3790095530887334
9,RECON,2,589,0.14620314722796268
9,RECON,3,516,0.14418692221976098
9,RECON,4,243,0.12980038302931135
9,RECON,5,3392,0.20079999443423158
9,SPOOFING,1,29,0.087303631610733
9,SPOOFING,2,5190,0.22239134891740103
9,SPOOFING,3,6742,0.2391931149462923
9,SPOOFING,4,13850,0.2940064071136202
9,SPOOFING,5,1059,0.15710549741195348
9,WEB,1,49,0.12662309903650099
9,WEB,2,286,0.22210025267054212
9,WEB,3,21,0.13808869798687934
9,WEB,4,343,0.23107343396379598
9,WEB,5,670,0.2821145163422816
10,BENIGN,1,21631,0.25175945958772644
10,BENIGN,2,30,0.10890300182910259
10,BENIGN,3,10438,0.21425449208550634
10,BENIGN,4,1789,0.14755699270171654
10,BENIGN,5,26562,0.27752605379594797
10,BRUTEFORCE,1,0,0.0
10,BRUTEFORCE,2,30,0.18192870152537702
10,BRUTEFORCE,3,442,0.3406163247604035
10,BRUTEFORCE,4,123,0.23743769564294442
10,BRUTEFORCE,5,132,0.24001727807127501
10,DDOS,1,1160039,0.312535982999029
10,DDOS,2,24016,0.13469647334872342
10,DDOS,3,575798,0.25865149789295844
10,DDOS,4,37815,0.14141869606099652
10,DDOS,5,65238,0.15269734969829252
10,DOS,1,457,0.10169453328629717
10,DOS,2,58958,0.2142743684670967
10,DOS,3,19342,0.1669658415038296
10,DOS,4,356064,0.37516235625752054
10,DOS,5,8205,0.14190290048525608
10,MIRAI,1,9852,0.160940232453887
10,MIRAI,2,30104,0.22364574837390444
10,MIRAI,3,93569,0.31599079749035675
10,MIRAI,4,2545,0.136675259207091
10,MIRAI,5,8040,0.16274796247476087
10,RECON,1,33060,0.3922915991725583
10,RECON,2,589,0.14304565335447655
10,RECON,3,516,0.14073171906803686
10,RECON,4,243,0.12733608826409246
10,RECON,5,3392,0.19659494014083584
10,SPOOFING,1,29,0.10058567769455788
10,SPOOFING,2,5190,0.21923385504391493
10,SPOOFING,3,6742,0.23573791179456818
10,SPOOFING,4,13850,0.2915421123484013
10,SPOOFING,5,1059,0.15290044311855774
10,WEB,1,49,0.13990514512032587
10,WEB,2,286,0.21894275879705602
10,WEB,3,21,0.13463349483515524
10,WEB,4,343,0.22860913919857712
10,WEB,5,670,0.2779094620488859
