round,class,client_id,class_examples,class_weight,class_shap_weight
2,RECON,5,3392,0.19763907793813032,0.2028343601498204
2,SPOOFING,1,29,0.09902686610833913,0.1806690432051771
2,SPOOFING,2,5190,0.22012939261720404,0.20768990271169052
2,SPOOFING,3,6742,0.2310756633327014,0.19708027490995753
2,SPOOFING,4,13850,0.29369845388950855,0.2074763327505651
2,SPOOFING,5,1059,0.15606962405224684,0.20708444642260967
2,WEB,1,49,0.10006503486037367,0.10410644585771023
2,WEB,2,286,0.23097360546260026,0.22996052089620078
2,WEB,3,21,0.14477987486645646,0.22669753189629357
2,WEB,4,343,0.23221885491893673,0.21038308110906986
2,WEB,5,670,0.2919626298916329,0.22885242024072558
3,BENIGN,1,21631,0.2662288037854521,0.21272535477306573
3,BENIGN,2,30,0.08657751148946297,0.161247846885833
3,BENIGN,3,10438,0.22159943458103504,0.22109465682474844
3,BENIGN,4,1789,0.16091709160104378,0.22988384746700502
3,BENIGN,5,26562,0.2646771585430062,0.17504829404934788
3,BRUTEFORCE,1,0,0.0,0.0
3,BRUTEFORCE,2,30,0.18036517995152465,0.2491340007283191
3,BRUTEFORCE,3,442,0.34047194950408993,0.25259216104717175
3,BRUTEFORCE,4,123,0.23678010847803904,0.24759481194387908
3,BRUTEFORCE,5,132,0.2423827620663464,0.25067902628063016
3,DDOS,1,1160039,0.3316535619692889,0.2220218243181342
3,DDOS,2,24016,0.09155160069736308,0.11960908226239152
3,DDOS,3,575798,0.2676161107104557,0.22433399746868546
3,DDOS,4,37815,0.14778410261802852,0.2158944627824145
3,DDOS,5,65238,0.16139462400486393,0.21814063316837423
3,DOS,1,457,0.06598933166170112,0.1123762631284225
3,DOS,2,58958,0.2215210171532312,0.22039212493738128
3,DOS,3,19342,0.17464959781082995,0.22177228444769187
3,DOS,4,356064,0.384754744160196,0.22234842547370157
3,DOS,5,8205,0.15308530921404168,0.2231109020128027
3,MIRAI,1,9852,0.1685603891395256,0.19902697974889175
3,MIRAI,2,30104,0.2215428362175948,0.201693003252493
3,MIRAI,3,93569,0.31359380527548086,0.20161078740393923
3,MIRAI,4,2545,0.13462016733664545,0.1990534659274595
3,MIRAI,5,8040,0.16168280203075333,0.19861576366721642
3,RECON,1,33060,0.40004079388824737,0.19928505580899275
3,RECON,2,589,0.14123822395890112,0.20228396877396135
3,RECON,3,516,0.13823849590878717,0.20141832551519168
3,RECON,4,243,0.12386108262779856,0.1962136383957628
3,RECON,5,3392,0.1966214036162658,0.20079901150609136
3,SPOOFING,1,29,0.100744294399425,0.18410389978734884
3,SPOOFING,2,5190,0.21794731356468044,0.20332574460664335
3,SPOOFING,3,6742,0.23285883968360116,0.20064662761175708
3,SPOOFING,4,13850,0.28973261746410695,0.19954465989976186
3,SPOOFING,5,1059,0.15871693488818645,0.21237906809448892
3,WEB,1,49,0.1310634672561753,0.16610331064931344
3,WEB,2,286,0.22538451076842758,0.21878233150785545
3,WEB,3,21,0.12754168156646808,0.19222114529631681
3,WEB,4,343,0.23420118773822393,0.21434774674764429
3,WEB,5,670,0.28180915267070505,0.20854546579886993
4,BENIGN,1,21631,0.25410199383395554,0.18847173487007265
4,BENIGN,2,30,0.10626874048792474,0.20063030488275654
4,BENIGN,3,10438,0.21113246789907508,0.20016072346082853
4,BENIGN,4,1789,0.1506984450116437,0.20944655428820483
4,BENIGN,5,26562,0.27779835276740095,0.20129068249813742
4,BRUTEFORCE,1,0,0.0,0.0
4,BRUTEFORCE,2,30,0.18336124817649213,0.25512613717825405
4,BRUTEFORCE,3,442,0.33924362753714044,0.25013551711327275
4,BRUTEFORCE,4,123,0.24219820275854584,0.2584310005048927
4,BRUTEFORCE,5,132,0.2351969215278216,0.23630734520358054
4,DDOS,1,1160039,0.3128192955885756,0.1843532915567076
4,DDOS,2,24016,0.10520907590169423,0.14692403267105386
4,DDOS,3,575798,0.27220490841306955,0.2335115928739133
4,DDOS,4,37815,0.14176869920981053,0.2038636559659786
4,DDOS,5,65238,0.16799802088685006,0.23134742693234658
4,DOS,1,457,0.04958019549668822,0.07955799079839668
4,DOS,2,58958,0.22687733798451043,0.23110476659993978
4,DOS,3,19342,0.18001591819755164,0.23250492522113522
4,DOS,4,356064,0.3851726458508717,0.22318422885505296
4,DOS,5,8205,0.15835390247037803,0.2336480885254754
4,MIRAI,1,9852,0.16869965057433683,0.19930550261851424
4,MIRAI,2,30104,0.22166100174808212,0.20192933431346763
4,MIRAI,3,93569,0.3134493406905717,0.20132185823412094
4,MIRAI,4,2545,0.1340901895343736,0.19799351032291582
4,MIRAI,5,8040,0.16209981745263585,0.1994497945109815
4,RECON,1,33060,0.40137532543408394,0.20195411890066586
4,RECON,2,589,0.1468551261808925,0.21351777321794407
4,RECON,3,516,0.14229088675254184,0.20952310720270098
4,RECON,4,243,0.12515261811618542,0.1987967093725365
4,RECON,5,3392,0.18432604351629636,0.17620829130615254
4,SPOOFING,1,29,0.09236851400349536,0.1673523389954895
4,SPOOFING,2,5190,0.215165990264257,0.19776309800579642
4,SPOOFING,3,6742,0.24087110175225443,0.2166711517490635
4,SPOOFING,4,13850,0.29584846555421856,0.21177635607998496
4,SPOOFING,5,1059,0.15574592842577478,0.2064370551696655
4,WEB,1,49,0.12829071324301355,0.16055780262299002
