round,client_id,num_examples,fedavg_weight,final_weight,warmup,client_score,raw_shap_weight,importance::BENIGN,reliability::BENIGN,similarity::BENIGN,gain::BENIGN,importance::DDOS,reliability::DDOS,similarity::DDOS,gain::DDOS,importance::DOS,reliability::DOS,similarity::DOS,gain::DOS,importance::MIRAI,reliability::MIRAI,similarity::MIRAI,gain::MIRAI,importance::RECON,reliability::RECON,similarity::RECON,gain::RECON,importance::SPOOFING,reliability::SPOOFING,similarity::SPOOFING,gain::SPOOFING,importance::WEB,reliability::WEB,similarity::WEB,gain::WEB
5,5,515452,0.2,0.17490874346542343,0,0.13286054080913645,0.12187711810676359,0.036005247105903054,0.0,0.0,0.0,0.04047403045541969,0.500250501002004,0.351277496679287,0.026316851712904432,0.19182004955175208,0.0,0.0,0.0,0.19182004955175208,0.0,0.0,0.0,0.19182004955175208,0.4982561036372696,0.9055792747219893,0.47853223775955755,0.15624052423166904,0.0,0.0,0.0,0.19182004955175208,0.0,0.0,0.0
6,1,515452,0.2,0.21414484601359735,0,0.2901325278720751,0.21908023246910333,0.04517444806979199,0.5378223495702006,0.6539216404024906,0.11983038169871463,0.04541726889222401,0.6745098039215687,0.7626767417486353,0.25875260612508183,0.18882556446200605,0.1182769530299343,0.8497381073606324,0.1182769530299343,0.18882556446200605,0.0,0.9957420976837006,0.0,0.18882556446200605,0.0,0.7789761120538936,0.0,0.15410602518995978,0.3392612859097127,0.9269950293383797,0.216731641640938,0.18882556446200605,0.0,0.0,0.0
6,2,515452,0.2,0.17875018324295747,0,0.1592680462096115,0.12979809067035303,0.04517444806979199,0.49881531363012843,0.9352795699912705,0.08082334575864247,0.04541726889222401,0.6343407505812022,0.5600720208706745,0.21858355278471536,0.18882556446200605,0.561730163276998,0.6412592605798046,0.561730163276998,0.18882556446200605,0.0,0.0,0.0,0.18882556446200605,0.0,0.0,0.0,0.15410602518995978,0.0,0.0,0.0,0.18882556446200605,0.0,0.0,0.0
6,3,515452,0.2,0.260792,0,0.4446720813311806,0.4065050023704493,0.04517444806979199,0.15301530153015303,0.7283419679917896,0.0,0.04541726889222401,0.7042560931247727,0.8975763282403203,0.2884988953282858,0.18882556446200605,0.20096533567354102,0.8092813688770578,0.20096533567354102,0.18882556446200605,0.9421015010721944,0.9229136030609925,0.9411020008223193,0.18882556446200605,0.0,0.0,0.0,0.15410602518995978,0.4853085899058063,0.7678573182506248,0.36277894563703156,0.18882556446200605,0.11188811188811189,0.9261225865285749,0.11188811188811189
6,4,515452,0.2,0.17448576747171124,0,0.15179733489544478,0.1259767352617576,0.04517444806979199,0.0,0.9304560658422638,0.0,0.04541726889222401,0.5,0.7589256919936931,0.08424280220351316,0.18882556446200605,0.0,0.0,0.0,0.18882556446200605,0.0,0.0,0.0,0.18882556446200605,0.499001996007984,0.8989103465491336,0.49500998003992014,0.15410602518995978,0.0,0.0,0.0,0.18882556446200605,0.0,0.0,0.0
6,5,515452,0.2,0.171827203271734,0,0.1367963190129724,0.11863993922833689,0.04517444806979199,0.0,0.0,0.0,0.04541726889222401,0.500501002004008,0.6207291318162546,0.0847438042075212,0.18882556446200605,0.0,0.0,0.0,0.18882556446200605,0.0009995002498750624,0.0,0.0,0.18882556446200605,0.49831817615547525,0.8912533140472038,0.4943261601874114,0.15410602518995978,0.0,0.0,0.0,0.18882556446200605,0.0,0.0,0.0
7,1,515452,0.2,0.21478580675407588,0,0.2841492127548319,0.2217981336365773,0.037545555165690025,0.5350989605581661,0.6971758183474352,0.027413044480060544,0.04112962703241133,0.681512169860176,0.5713195057420644,0.21806645094000454,0.1906134956895439,0.12682459918640823,0.7290635741166978,0.12682459918640823,0.1906134956895439,0.0,0.997167330649525,0.0,0.1906134956895439,0.0,0.8896844400933648,0.0,0.15887083504372312,0.3489420742282345,0.8745615921723191,0.2289619056610555,0.1906134956895439,0.0,0.0,0.0
7,2,515452,0.2,0.17582420001565016,0,0.14978692048604433,0.12958259683004592,0.037545555165690025,0.4991265285749938,0.7750860580158125,0.0,0.04112962703241133,0.6245353159851301,0.5974657698402177,0.16108959706495862,0.1906134956895439,0.5640005682625373,0.6101650467612342,0.5640005682625373,0.1906134956895439,0.0,0.0,0.0,0.1906134956895439,0.0,0.0,0.0,0.15887083504372312,0.0,0.0,0.0,0.1906134956895439,0.0,0.0,0.0
7,3,515452,0.2,0.2665544,0,0.42895692575659955,0.395835417410844,0.037545555165690025,0.11536686663590216,0.706876564415392,0.0,0.04112962703241133,0.6981805208704959,0.7430790551943055,0.23473480195032437,0.1906134956895439,0.13167587476979742,0.7958547603202282,0.13167587476979742,0.1906134956895439,0.9418770843258695,0.9601206478902582,0.9408775840759944,0.1906134956895439,0.0,0.0,0.0,0.15887083504372312,0.47501523461304085,0.7147363661281406,0.3550350660458619,0.1906134956895439,0.0926347760060744,0.9497901228553309,0.0926347760060744
7,4,515452,0.2,0.1729072597632967,0,0.15064019174830168,0.13002562887684976,0.037545555165690025,0.0,0.9539222925519324,0.0,0.04112962703241133,0.50050075112669,0.6969176849780034,0.03705503220651851,0.1906134956895439,0.0,0.0,0.0,0.1906134956895439,0.0009995002498750624,0.0,0.0,0.1906134956895439,0.4985666209647264,0.9500457991515073,0.49457659602707055,0.15887083504372312,0.0,0.0,0.0,0.1906134956895439,0.0,0.0,0.0
7,5,515452,0.2,0.16992833346697728,0,0.13626148675265504,0.12275822324568302,0.037545555165690025,0.0,0.0,0.0,0.04112962703241133,0.5001880406167732,0.5868943927440857,0.03674232169660174,0.1906134956895439,0.0,0.0,0.0,0.1906134956895439,0.0009995002498750624,0.0,0.0,0.1906134956895439,0.4978839930296241,0.9119863839760703,0.4938939680919682,0.15887083504372312,0.0,0.0,0.0,0.1906134956895439,0.0,0.0,0.0
8,1,515452,0.2,0.21652525195733607,0,0.2980010323687982,0.22651474632789775,0.036308701497902156,0.541138307283987,0.7850872881725752,0.012239286229943858,0.04030363247791876,0.681394546082154,0.5908690015772572,0.20492045436089135,0.19203636677983923,0.12903225806451613,0.7974629915930473,0.12903225806451613,0.19203636677983923,0.0,0.9982513750334701,0.0,0.19203636677983923,0.0,0.9399341755621404,0.0,0.15524219890482202,0.3727943535450754,0.9746063126255198,0.24909321549460534,0.19203636677983923,0.0,0.0,0.0
8,2,515452,0.2,0.17342637082291068,0,0.14840306027168132,0.12451400002911721,0.036308701497902156,0.4991265285749938,0.7591298202368739,0.0,0.04030363247791876,0.6262350936967632,0.6420981949160418,0.14976100197550057,0.19203636677983923,0.5646325923828401,0.5828968634765916,0.5646325923828401,0.19203636677983923,0.0,0.0,0.0,0.19203636677983923,0.0,0.0,0.0,0.15524219890482202,0.0,0.0,0.0,0.19203636677983923,0.0,0.0,0.0
8,3,515452,0.2,0.27058808,0,0.4450104326845755,0.40782886964344534,0.036308701497902156,0.09274004683840749,0.7954080819149765,0.0,0.04030363247791876,0.7011722272317403,0.7464698664984567,0.22469813551047768,0.19203636677983923,0.17025089605734767,0.7984085103002916,0.17025089605734767,0.19203636677983923,0.9421015010721944,0.9863488653608701,0.9411020008223193,0.19203636677983923,0.0,0.0,0.0,0.15524219890482202,0.48587731811697576,0.8717303001561791,0.3621761800665057,0.19203636677983923,0.09723756906077348,0.9504283294196175,0.09723756906077348
