round,client_id,num_examples,fedavg_weight,final_weight,warmup,client_score,raw_shap_weight,importance::BENIGN,reliability::BENIGN,similarity::BENIGN,gain::BENIGN,importance::DDOS,reliability::DDOS,similarity::DDOS,gain::DDOS,importance::DOS,reliability::DOS,similarity::DOS,gain::DOS,importance::MIRAI,reliability::MIRAI,similarity::MIRAI,gain::MIRAI,importance::RECON,reliability::RECON,similarity::RECON,gain::RECON,importance::SPOOFING,reliability::SPOOFING,similarity::SPOOFING,gain::SPOOFING,importance::WEB,reliability::WEB,similarity::WEB,gain::WEB
8,2,515452,0.2,0.20694444652503413,0,0.4431593888614656,0.20360758646079988,0.07731280107973035,0.4884353741496599,0.9709711334351885,0.0,0.05772222276278651,0.6355704697986577,0.7253575283137723,0.0,0.08780379744317383,0.7839555202541699,0.864075215636676,0.31006283030098303,0.042137350180551494,0.992708071410611,0.99755756049971,0.005233121510811456,0.17188185794485333,0.19910313901345292,0.8718240214982126,0.0,0.14704619300440036,0.5705568268497331,0.9824946356576,0.2875873945353226,0.416095777584504,0.0,0.9520770916266791,0.0
8,3,515452,0.2,0.2168333054791334,0,0.48219981112886545,0.238020364383374,0.07731280107973035,0.552113855169527,0.8538752009186681,0.013916077086959522,0.05772222276278651,0.7466101694915255,0.9352890994796821,0.02575127378600406,0.08780379744317383,0.6385432473444613,0.9679880489378363,0.16465055739127443,0.042137350180551494,0.9924585218702866,0.995791144327074,0.004983571970487044,0.17188185794485333,0.6239604405484378,0.963340105839996,0.3818780110473532,0.14704619300440036,0.42738901429646353,0.9726303431950027,0.14441958198205307,0.416095777584504,0.0,0.9439437342228583,0.0
8,4,515452,0.2,0.1891526048490216,0,0.41686602721776644,0.18328111083731408,0.07731280107973035,0.5295149035651666,0.9314810391543027,0.0,0.05772222276278651,0.7016157989228007,0.6883208627527088,0.0,0.08780379744317383,0.3199013157894737,0.912905378324209,0.0,0.042137350180551494,0.9902083856389656,0.9987607164437229,0.002733435739166068,0.17188185794485333,0.6057988895743368,0.9426743238834032,0.3637164600732522,0.14704619300440036,0.03268318397469689,0.9600536311395813,0.0,0.416095777584504,0.0,0.9059760208048682,0.0
8,5,515452,0.2,0.18298661891058082,0,0.40173954932422345,0.1725203477400892,0.07731280107973035,0.5244956772334294,0.8311530522196003,0.0,0.05772222276278651,0.6762614290551981,0.702912470804424,0.0,0.08780379744317383,0.0,0.9620793964591516,0.0,0.042137350180551494,0.9268867924528302,0.9960045961983898,0.0,0.17188185794485333,0.6037964458804523,0.9902975788172586,0.36171401637936773,0.14704619300440036,0.05211047420531527,0.8329747085850999,0.0,0.416095777584504,0.0,0.9378389867896149,0.0
9,1,515452,0.2,0.2039787203252422,0,0.4460042401698996,0.2074706890658742,0.07701491635740923,0.5440885725583234,0.9534292918848817,0.0041133420643093555,0.058120135362387505,0.7260700389105058,0.8598250726058633,0.010549557888333672,0.09423392954002059,0.5149617258176757,0.9181815867363731,0.07365414780876045,0.04194464848063452,0.992708071410611,0.9989113421257158,0.0012550799576195315,0.16605778783102484,0.0,0.8459259590308448,0.0,0.1467671103128306,0.5318810982527796,0.9147237035096616,0.24853323425975432,0.41586147211569263,0.11971830985915492,0.9813920929046576,0.06810540663334846
9,2,515452,0.2,0.20660501842029827,0,0.4509619096642531,0.21162603901849583,0.07701491635740923,0.5462594068171758,0.846466563971585,0.006284176323161694,0.058120135362387505,0.6393878908848969,0.858011793352149,0.0,0.09423392954002059,0.783875473957294,0.7067388681855348,0.34256789594837866,0.04194464848063452,0.992708071410611,0.9992202626912905,0.0012550799576195315,0.16605778783102484,0.22241835834068843,0.9771867784024945,0.0,0.1467671103128306,0.4,0.9401231760009428,0.11665213600697472,0.41586147211569263,0.06369426751592357,0.9970507063173604,0.012081364290117115
9,3,515452,0.2,0.21680446744761428,0,0.4755247853067384,0.23347435741480602,0.07701491635740923,0.544082776460444,0.9320341759353507,0.004107545966429926,0.058120135362387505,0.7470187393526405,0.9230407914413579,0.031498258330468376,0.09423392954002059,0.6427494724148327,0.938325973901311,0.20144189440591742,0.04194464848063452,0.992708071410611,0.9986035866886614,0.0012550799576195315,0.16605778783102484,0.6265968586387435,0.9327882607715972,0.3761650797095552,0.1467671103128306,0.370250606305578,0.884076047608507,0.08690274231255268,0.41586147211569263,0.0,0.971230254282453,0.0
9,4,515452,0.2,0.1903113002015659,0,0.41873350209568966,0.18602984538167167,0.07701491635740923,0.5454545454545454,0.8368509913699291,0.005479314960531334,0.058120135362387505,0.6950554284708781,0.621268574067984,0.0,0.09423392954002059,0.2654109589041096,0.9676639667613587,0.0,0.04194464848063452,0.9924547283702213,0.9990022143155385,0.001001736917229823,0.16605778783102484,0.611735841341239,0.950376677986103,0.36130406241205076,0.1467671103128306,0.0,0.966271111235898,0.0,0.41586147211569263,0.0,0.972623509155344,0.0
9,5,515452,0.2,0.18230049360527945,0,0.38322671919509355,0.16139906911915233,0.07701491635740923,0.09456473707467963,0.8255129689138834,0.0,0.058120135362387505,0.6824012314007183,0.4867032205780401,0.0,0.09423392954002059,0.16925892040256177,0.9872832152431847,0.0,0.04194464848063452,0.989149634115569,0.9977702187384703,0.0,0.16605778783102484,0.5167078403328565,0.9871684391064317,0.2662760614036683,0.1467671103128306,0.058151609553478714,0.9151948252232859,0.0,0.41586147211569263,0.0,0.9420038693169133,0.0
10,1,515452,0.2,0.20424255895795482,0,0.45285386387920606,0.2097163648685686,0.07668187171427715,0.5512882839086047,0.9833930292026842,0.010098826201967559,0.05850100515398057,0.737781383086595,0.9687476241508386,0.028401767133862332,0.10358924462563904,0.582901554404145,0.9852108364081473,0.18228640638415272,0.041814925540360565,0.992708071410611,0.9989428885663257,0.00025334304038970856,0.15729619086629357,0.0,0.8327444996741177,0.0,0.14712255640965344,0.48454187745924676,0.9756859463270533,0.20246806375098664,0.4149942056897958,0.10702341137123746,0.9827766645197212,0.04373227213073112
10,2,515452,0.2,0.2060158615747557,0,0.45233591418411356,0.20928232453697948,0.07668187171427715,0.5444274809160305,0.9452829539792222,0.0032380232093933703,0.05850100515398057,0.6401869158878505,0.536286323859501,0.0,0.10358924462563904,0.7843762455161419,0.587318090445196,0.3837610974961496,0.041814925540360565,0.992708071410611,0.999178510182245,0.00025334304038970856,0.15729619086629357,0.2324561403508772,0.9410230471309604,0.0,0.14712255640965344,0.4743421052631579,0.9365500566654894,0.19226829155489777,0.4149942056897958,0.0736196319018405,0.9694940405717329,0.010328492661334163
10,3,515452,0.2,0.21898844866274403,0,0.4949421699880134,0.24816880966276028,0.07668187171427715,0.5653357531760436,0.9493558218985532,0.024146295469406387,0.05850100515398057,0.7445255474452555,0.904094152073415,0.035145931492522764,0.10358924462563904,0.6215461036945048,0.9551283402199555,0.22093095567451249,0.041814925540360565,0.992708071410611,0.9981673940370277,0.00025334304038970856,0.15729619086629357,0.6237554989580921,0.9741152542715185,0.3599257117240496,0.14712255640965344,0.526282457251425,0.9011416169512166,0.24420864354316485,0.4149942056897958,0.0,0.9739019986204916,0.0
10,4,515452,0.2,0.18911411535617562,0,0.4042189768219613,0.17264136810053005,0.07668187171427715,0.37616822429906543,0.8394069485235635,0.0,0.05850100515398057,0.701294033069734,0.5703394500869752,0.0,0.10358924462563904,0.3285772523440685,0.8715461201458802,0.0,0.041814925540360565,0.9919476597886261,0.9987489718663827,0.0,0.15729619086629357,0.5586050037907506,0.9446090218297554,0.2947752165567081,0.14712255640965344,0.0021413276231263384,0.9676728398529972,0.0,0.4149942056897958,0.0,0.9794749772648834,0.0
10,5,515452,0.2,0.18163901544836986,0,0.38550679092719764,0.16019113283116157,0.07668187171427715,0.15391539153915393,0.850950891608178,0.0,0.05850100515398057,0.6775343861436577,0.537340570710926,0.0,0.10358924462563904,0.13165266106442577,0.9701827246738217,0.0,0.041814925540360565,0.954578576633471,0.9989731107743567,0.0,0.15729619086629357,0.5156398104265403,0.8805612466495046,0.25181002319249773,0.14712255640965344,0.01700318809776833,0.9068408337789918,0.0,0.4149942056897958,0.082687338501292,0.8935951618829991,0.01939619926078566
